All,Všetky
"See order and shipping status","Sledovať stav objednávky a zásielky"
"Track order history","Sledovať históriu objednávky"
"Check out faster","Rýchlejší nákup"
"Are you sure you want to delete this address?","Ste si istí, že chcete odstrániť túto adresu?"
"All Customers","Všetci zákazníci"
"Now Online","Práve pripojený"
"Customer Configuration","Nastavenie zákazníka"
"Account Sharing Options","Možnosti zdielania účtu"
"Share Customer Accounts","Zdielať zákaznícke účty"
"Create New Account Options","Vytvoriť nové možnosti účtu"
"Welcome Email","Uvítací e-mail"
"Password Options","Nastavenie hesla"
"Show Date of Birth","Ukázať dátum narodenia"
"Show Tax/VAT Number","Ukázať čísla IČO/DIČ"
"Account Created in","Konto vytvorené v"
"Billing Firstname","Nemo fakturačnej na adrese"
"Billing Lastname","Fakturácia priezvisko"
"Last Activity","Posledná aktivita"
"Password forgotten","Zabudnuté heslo"
"You are signed out","Ste odhlásení"
Balance,Zostatok
Notified,Oznámené
"More information","Viac informácií"
"Notify Customer by Email","Upozorniť zákazníka e-mailom"
"Please set a website ID.","Nastavte ID webovej stránky."
Used,Použité
"Customer Address Attributes","Atribúty adresy zákazníka"
"We can't delete the customer address attribute right now.","Nieje možné zmazať atribút adresy užívateľa práve teraz."
"We can't save the customer address attribute right now.","Nieje možné uložiť atribút adresy užívateľa práve teraz."
"We can't delete the form type right now.","Tento typ formulára nieje možné zmazať práve teraz."
"Please specify a finance information website.","Prosím uveďte webstránku finančných informácií."
"Please specify a website.","Prosím uveďte webstránku."
"We can't find a customer who matches this email and website code.","Nepodarilo sa nájsť zákazníka ktorý by odpovedal zadanému emailu a kódu stránky."
"We can't find that customer address.","Nepodarilo sa nájsť adresu zákazníka."
"We can't find that email and website combination.","Nepodarilo sa nájsť záznam odpovedajúci zadanej kombinácii emailu a stránky."
Segments,Segmenty
"We can't save the segment right now.","Nieje možné uložiť segment práve teraz."
"Order Status","Stav objednávky"
"Grand Total","Celkový súčet"
"AVS result code","AVS výsledkový kód"
"Format for IDE '%1' is not supported","IDE '%1' formát nepodporovaný"
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.","Povoliť DHL optimalizovať prepravné náklady rozdelením objednávky, ak prekročí %1 %2."
"Document is not saved due to error.","Dokument neuložený kvôli chybe."
"Downloadable Information","Stiahnuteľná informácia"
"My Downloadable Products","Moje Produkty na Prevzatie"
"View Order","Zobraziť objednávku"
"Could not ping search engine: %1","Nebolo možné overiť spojenie s poskytovateľom vyhládávania: %1"
"Elasticsearch Server Hostname","Elasticsearch názov servera"
"Elasticsearch Server Port","Elasticsearch port servera"
"Elasticsearch Index Prefix","Elasticsearch predpona Indexu"
"Enable Elasticsearch HTTP Auth","Umožniť Elasticsearch HTTP autorizáciu"
"Elasticsearch HTTP Username","Elasticsearch HTTP užívateľské meno"
"Elasticsearch HTTP Password","Elasticsearch HTTP heslo"
"Elasticsearch Server Timeout","Časový limit servera Elasticsearch"
"Test Connection","Testovať spojenie"
"Add New Template","Pridať novú šablónu"
"Transactional Emails","Transakčné emaily"
"Delete Template","Odstrániť šablónu"
"Convert to Plain Text","Konvertovať na obyčajný Text"
"Return Html Version","Vráti Html verziu"
"Preview Template","Náhľad šablóny"
"Save Template","Uložiť šablónu"
"Load Template","Načítať šablóny"
"Edit Email Template","Upraviť šablónu e-mailu"
"New Email Template","Nová šablóna e-mailu"
"Template Information","Informácie o šablóne"
"Currently Used For","V súčasnosti použítá pre"
"Template Name","Názov šablóny"
"Template Subject","Predmet šablóny"
"Insert Variable...","Vložiť premenú..."
"Template Content","Obsah šablóny"
"Template Styles","Štýly šablóny"
"You deleted the email template.","Odstranili ste šablónu e-mailu."
"The email template is currently being used.","Šablóna e-mailu sa momentálne používa."
"Edit Template","Upraviť šablónu"
"Edit System Template","Upraviť systémovú šablónu"
"New Template","Nová šablóna"
"New System Template","Nová systémová šablóna"
"Email Templates","Šablóny emailov"
"Email Preview","Náhľad e-mailu"
"An error occurred. The email template can not be opened for preview.","Vyskytla sa chyba. E-mailovú šablónu nemožno otvoriť pre náhľad."
"This email template no longer exists.","Táto e-mailová šablóna už neexistuje."
"You saved the email template.","Uložili ste šablónu e-mailu."
"Template Variables","Premené šablóny"
"Please enter a template name.","Zadajte názov šablóny."
"Duplicate Of Template Name","Duplicitný názov šablóny"
"Invalid transactional email code: %1","Neplatný kód trasakčného e-mailu: %1"
"Requested invalid store ""%1""","Požadovaný neplatný obchod ""%1"""
"""file"" parameter must be specified","musí byť zadaný parameter ""súbor"""
"""file"" parameter must be specified and must not be empty","parameter ""súbor"" musia byť zadaný a súbor nesmie byť prázdny"
"Design params must be set before calling this method","Parametre dizajnu musia byť zadefinované pred volaním tejto motódy"
"Invalid sender data","Neplatné údaje odosieľateľa"
"Are you sure you want to strip tags?","Naozaj chcete odstrániť Tagy?"
"Are you sure you want to delete this template?","Naozaj chcete odstrániť túto šablónu?"
"The template did not load. Please review the log for details.","Šablóna nebola načítaná. Viac informácii sa dozviete zo systémoveho zapisu."
"Thank you, %store_name","Ďakujeme Vám, %store_name"
"No Templates Found","Nenašli sa žiadne šablóny"
"Template Type","Typ šablóny"
"Logo Image","Obrázok loga"
"Logo Image Alt","Alternativný text loga"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Je potrebné len v prípade, že bol nahraný obrázok vyššie. Zadajte rozmer v pixeloch (bez ""px"")."
"Logo Width","Šírka loga"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Je potrebné len v prípade, že bol nahraný obrázok vyššie. Zadajte rozmer obrázku v pixeloch (bez ""px"")."
"Logo Height","Výška loga"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Vybratá šablóna e-mailu v závislosti na záložnom motíve ak je vybratá možnosť ""Predvolený""."
"Header Template","Šablóna hlavičky stránky"
"Footer Template","Šablóna pätičky stránky"
"Change Encryption Key","Zmena šifrovacieho kľúča"
"Europe First Priority","Európa - prvá trieda"
"Gift Card Information","Informácie darčekovej karty"
"Gift Card Accounts","Konto darčekovej karty"
"Are you sure you want to delete this gift registry?","Naozaj chcete odstrániť tento zoznam darčekov?"
Emails,E-maily
"Please enter a valid email address.","Zadajte platnú e-mailovú adresu."
"Please enter the first name.","Prosím, zadajte krstné meno."
"Please enter the last name.","Prosím, zadajte priezvisko."
"Unit Price","Cena za jednotku"
"Gift Wrapping","Darčekové balenie"
"Product View Optimization","Optimalizácia zobrazenia produktu"
"Google Analytics Enhanced Ecommerce Settings","Google Analytics Enhanced Ecommerce nastavenia"
"Grouped Products","Zoskupené produkty"
"Please specify the quantity of product(s).","Uveďte množstvo produktu(ov)."
"Indexer Management","Riadenie indexovania"
"Shipping Method","Spôsob dopravy"
Integrations,Prepojenia
Invitations,Pozvánky
item,položka
items,položky
"Now Shopping by","Filtrovať podľa"
"Admin Actions Log Archive","Archív denníka činností Admina"
"Cart Price Rules","Cenové pravidlá košíka"
Partners,Partneri
Synchronize,Synchronizovať
"Some exception","Niektoré výnimky"
"To see product price, add this item to your cart. You can always remove it later.","Pre zobrazenie ceny vložte do košíka. Neskôr to môžete z neho odstrániť."
Wishlist,"Zoznam želaní"
"1 item in wish list","1 položka v zozname prianí"
"%1 items in wish list","%1 položiek v zozname prianí"
"Product(s) %1 have required options. Each product can only be added individually.","Výrobky %1 majú nastavitelné parametre, preto každy produkt musí byť pridaný zvlášť."
"No items","Žiadne položky"
"Copy to Wish List","Kopírovať do zoznamu prianí"
"Move Selected to Wish List","Presunúť vybrané na zoznam prianí"
"Copy Selected to Wish List","Kopírujte vybrané do zoznamu prianí"
"Shipping Information","Prepravné informácie"
"Shipping & Handling","Poštovné a balné"
"Show My Orders","Zobraziť Moje Objednávky"
"Delete Selected Problems","Odstrániť vybrané problémy"
"Unsubscribe Selected","Odhlásiť sa z vybratých"
"Save As","Uložiť ako"
"Something went wrong while saving your subscription.","Pri ukladaní vášho odberu došlo k chybe."
"You unsubscribed.","Boli ste odhlásený z odberu noviniek."
Subscribe,"Prihlásiť sa k odberu"
Unsubscribed,"Odhlásiť sa"
"Make Check payable to:","Vyplatiť šek:"
"Bank Transfer Payment","Platba Prevodom"
"Per Item","Za položku"
"We cannot retrieve the payment method model object.","Nemôžeme získať model objektu platobnej metódy."
"Please enter a valid credit card verification number.","Prosím zadajte platné verifikačné číslo karty."
"Please enter a valid credit card number.","Zadajte číslo platnej platobnej karty."
"Billing Agreements","Súhlasy fakturácie"
"Items in Your Shopping Cart","Položky vo Vašom košíku"
"Edit Shopping Cart","Upraviť košík"
"Not you?","Nie ste to vy?"
"Persist Wish List","Pretrvávajúci zoznam prianí"
"Images and Videos","Obrázky a videá"
"Edit Catalog Price Rules","Upraviť pravidlá katalógových cien"
"Shipping & Handling (%1)","Poštovné a balné (%1)"
"Edit Rule '%1'","Upraviť pravidlo ""%1"""
"We can't delete the reminder rule right now.","Nieje možné zmazať pravidlo pripomienky."
Reviews,Recenzie
"Product Reviews","Recenzie Produktu"
Exception,Výnimka
"Product Reviews","Recenzie Produktov"
"Review by","Hodnotenie od"
"You can't unsubscribed right now.","Terez nieje možné sa odhlásiť."
"You don't have enough reward points to pay for this purchase.","Ešte ste nenazbierali dostatok bodov na platbu tehoto nákupu."
"Customer Service","Zákaznícky servis"
"Order History","História objednávok"
"Back to My Orders","Späť na Moje Objednávky"
"Please enter the street.","Prosím, zadajte ulicu."
"Please enter the city.","Prosím zadajte mesto."
"Please enter the phone number.","Prosím, zadajte telefónne číslo."
"Please enter the zip/postal code.","Prosím, zadajte poštové smerovacie číslo."
"Please enter the country.","Zadajte prosím krajinu."
"Payment Review","Prehľad Platby"
"No Items","Žiadne položky"
"Invoice History","Fakturačná história"
"Items Invoiced","Fakturované položky"
"Print Order","Vytlačiť objednávku"
"Thank you for your order from %store_name.","Ďakujeme vám za vašu objednávku od %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Stav svojej objednávky môžete skontrolovať po <a href=""%account_url"">prihlásení do vášho účtu</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Váš úver Záznam kreditu #%creditmemo_id pre objednávku #%order_id"
"Billing Info","Fakturačné informácie"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Vaša objednávka #%increment_id bola aktualizovaná na stav <strong>%order_status</strong>."
"Invoice for your %store_name order","Faktúra za Vašu %store_name objednávku"
"Your Invoice #%invoice_id for Order #%order_id","Vaša faktúra #%invoice_id pre objednávku #%order_id"
"Update to your %store_name invoice","Aktualizácia Vašej %store_name faktúry"
"Your %store_name order confirmation","Potvrdenie Vašej %store_name objednávky"
"Once your package ships we will send you a tracking number.","Akonáhle Váš balík odošleme, zašleme Vám sledovacie číslo."
"Your Order <span class=""no-link"">#%increment_id</span>","Vaša objednávka <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Vytvorená <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Aktualizácia Vašej %store_name objednávky"
"Your %store_name order has shipped","Vaša %store_name objednávka bola odoslaná"
"Your shipping confirmation is below. Thank you again for your business.","Nižšie je Vaša potvrdenie o odoslaní. Děkuji za vaše podnikanie."
"Your Shipment #%shipment_id for Order #%order_id","Odosolanie #%shipment_id pre objednávku #%order_id"
"Update to your %store_name shipment","Aktualizujte vašu zásielku %store_name"
"Move to Archive","Premiestniť do archívu"
"Search Term","Hľadaný výraz"
"We can't find a search term to delete.","Nemôžeme nájsť hľadaný výraz pre zmazanie."
"Your search query can't be longer than %1, so we shortened your query.","Hľadaný reťazec nemôže mať viac znakov ako %1, takže sme skrátili Váš reťazec."
"Search entire store here...","Hľadať celý obchod tu..."
Assign,Priradiť
"contact us","kontaktujte nás"
"Save & Generate","Uložiť a vygenerovať"
"We were unable to perform the search because of a search engine misconfiguration.","Nebolo možné vykonať hľadanie z dôvodu chybného nastavenia vyhľadávania."
"Error message!","Chybové hlásenie!"
more,viac
"We can't upload the file right now.","Práve teraz nieje možné nahrať súbor."
"We can't delete root directory %1 right now.","Práve teraz nieje možné odstrániť koreňový adresár %1."
Menu,Ponuka
Account,Účet
"Condition type ""%1"" is not allowed","Podmienka typu ""%1"" nie je povolená"
"Remove %1","Odstrániť %1"
"Add New %1","Pridať nový %1"
"New %1","Nový %1"
"Unsupported bookmark action.","Nepodporovaná akcia záložky."
Filters,Filtre
Selected,Vybrané
"Select All on This Page","Vybrať všetkých na tejto stránke"
"Deselect All on This Page","Zrušiť výber všetkých na tejto stránke"
On,Zapnuté
Off,Vypnuté
"Go to Details Page","Prejdite na stránku s podrobnosťami"
"New View","Nový pohľad"
"Default View","Predvolený pohľad"
"${ $.visible } out of ${ $.total } visible","${ $.visible } z ${ $.total } viditeľných"
"You have successfully saved your edits.","Úspešne ste uložili vaše úpravy."
"Search by keyword","Vyhľadávanie podľa kľúčových slov"
Keyword,"Kľúčové slová"
"Please enter more or equal than {0} symbols.","Zadajte aspoň {0} symbol (ov)."
"Please enter less or equal than {0} symbols.","Zadajte maximálne {0} symbol (ov)."
"Please enter {0} words or less.","Zadajte maximálne {0} slov(á)."
"Please enter at least {0} words.","Zadajte aspoň {0} slov(á)."
"Please enter between {0} and {1} words.","Zadajte {0} až {1} slov(á)."
"Letters or punctuation only please","Len písmená a interpunkčné znamienka"
"Letters, numbers, spaces or underscores only please","Len písmená, číslice, medzery alebo podčiarkovník"
"Letters only please","Len písmena"
"No white space please","Žiadne ""prázdne"" znaky prosím"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Vaše PSČ musí byť v rozmedzí 902xx-xxxx 905-xx-xxxx"
"A positive or negative non-decimal number please","Iba celé čísla (kladné alebo záporné)"
"The specified vehicle identification number (VIN) is invalid.","Zadané Identifikačné číslo vozidla (VIN) je neplatné."
"Please enter a correct date","Zadajte správny dátum"
"Please enter a valid time, between 00:00 and 23:59","Zadajte platný čas od 00:00 do 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Zadajte platný čas od 00:00 do 12:00 v noci"
"Please specify a valid phone number","Zadajte platné telefónne číslo"
"Please specify a valid mobile number","Zadajte platné číslo mobilného telefónu"
"Please enter at least {0} characters","Zadajte aspoň {0} znakov"
"Please enter a valid IP v4 address.","Zadajte platnú adresu IP v4."
"Please enter a valid IP v6 address.","Zadajte platnú adresu IP v6."
"Invalid format.","Neplatný formát."
"HTML tags are not allowed.","HTML tagy nie sú povolené."
"Please select an option.","Vyberte možnosť."
"Empty Value.","Prázdna hodnota."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","V tomto políčku používajte iba písmená (a-z alebo A-Z), čísla (0-9) alebo medzery."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","V tomto políčku používajte iba písmená (a-z alebo A-Z), čísla (0-9) alebo podčiarnik (_) a prvý znak by malo byť písmeno."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","V tomto políčku používajte iba písmená (a-z alebo A-Z), čísla (0-9), medzery a znak ""#""."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Zadajte platné telefónne číslo. Napríklad (123) 456-7890 alebo 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Zadajte platné faxové číslo (napr: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Prosím, zadajte platnú e-mailovú adresu (napr: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Zadajte prosím 6 alebo viac znakov. Medzery na začiatku a konci reťazca sú ignorované."
"Please enter 7 or more characters, using both numeric and alphabetic.","Zadajte prosím 7 alebo viac znakov, použite písmená aj číslice."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimálna dĺžka tohto poľa musí byť minimálne %1 symboly. Medzery na začiatku a na konci budú ignorované."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Zadajte platnú adresu URL aj s protokolom (http://, https:// alebo ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Zadajte platnú adresu URL. Napríklad http://www.example.com alebo www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Zadajte platný identifikátor XML (napr: nieco_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Zadajte platné číslo sociálneho poistenia (Napr: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Zadajte platné PSČ (Napr: 90602 alebo 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Použite tento formát dátumu: dd/mm/rrrr. Napríklad 17/03/2006 pre 17tý marec 2006."
"Please enter a valid $ amount. For example $100.00.","Prosím, zadajte platnú € hodnotu. Napríklad €100.00."
"Please enter a number greater than 0 in this field.","Do tohto políčka zadajte číslo väčšie ako 0."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Zadajte platnú CSS dĺžku (Napr: 100px, 77pt, 20em, .5ex alebo 50%)."
"The value is not within the specified range.","Hodnota nie je v danom rozsahu."
"Please use letters only (a-z or A-Z) in this field.","V tomto políčku použite iba malé alebo veľké písmena (a-Z)."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","V tomto políčku použite iba písmená (a-Z) alebo čísla (0-9). Medzery ani žiadne iné znaky niesu povolené."
"Please enter a valid date.","Zadajte správny dátum."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Prosím zadajte platný URL kľúč (Napr: ""príklad-stránky"", ""príklad-stranky.html"" alebo ""inystupen/príklad-stránky"")."
"Please enter a valid zip code.","Zadajte platné PSČ."
"Please select State/Province.","Vyberte štát/provinciu."
"Please enter a value less than or equal to {0}.","Zadajte hodnotu menšiu alebo rovnú {0}."
"Please enter a value greater than or equal to {0}.","Zadajte hodnotu väčšiu alebo rovnú {0}."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Zadajte platné e-mailové adresy, oddelené čiarkami. Napríklad, johndoe@domain.com, johnsmith@domain.com."
"Please enter positive number in this field.","V tomto políčku zadajte kladné číslo."
"Please enter a valid value, ex: 10,20,30","Zadajte platnú hodnotu, napr: 10,20,30"
"File you are trying to upload exceeds maximum file size limit.","Súbor, ktorý sa pokúšate nahrať presahuje maximálne povolenú veľkosť súboru."
"Please use tag SCRIPT with SRC attribute or with proper content to include JavaScript to the document.","Použite tag SCRIPT s atribútom SRC alebo korektným obsahom pre vloženie JavaScriptu do dokumentu."
Attention,Pozor
"Log JS Errors to Session Storage","Zaznamenať chyby JS aby úložiska Sesssion"
"Log JS Errors to Session Storage Key","Zaznamenať chyby JS aby kľuča úložiska Sesssion"
"It's time to change your password.","Je čas na zmenu vášho hesla."
"Hello,","Dobrý den,"
"Stored Payment Methods","Uložené Spôsoby Platby"
"You have no stored payment methods.","Nemáte uložené žiadne spôsoby platby."
"Add Tax","Pridať daň"
"Can't save description %1","Popis %1 sa nedá uložiť"
"Can't update wish list","Nie je možné aktualizovať zoznam prianí"
"Move to Wishlist","Pridať na zoznam prianí"
"10 by default. Max - 10000","10 prednastavené, max: 10000"
"Quick Checkout","Objednať bez registrácie"
"Store alternative addresses","Uloženie alternatívnych adries"
"For shipping to multiple family members and friends","Pre doručenie ďalším členom rodiny a priateľom"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Ak máte otázky týkajúce sa vašej objednávky, môžete nám poslať email na <a href=""mailto:%store_email"">%store_email</a>."
"Backup options","Možnosti zálohovania"
Warning,Upozornenie
"Recent items","Nedávné položky"
"Show all...","Zobraziť všetko..."
"Please enter a number greater 0 in this field.","Do tohto políčka zadajte číslo väčšie ako 0."
"Please select one of each ratings above.","Vyberte prosím jedno z hodnotení vyššie."
"Please specify Url.","Zadajte adresu Url."
"Method %s does not exist on jQuery.decorate","Metóda %s sa nenachádza v jQuery.decorate"
"Please wait...","Prosím, čakajte..."
Translate,Preložiť
"Please select one of the options above.","Vyberte prosím jedno z hodnotení vyššie."
"Please select a file.","Zvoľte súbor."
"Please select one of the options.","Zvoľte jednu z týchto možností."
"Please enter a value less than or equal to %s.","Zadajte hodnotu menšiu alebo rovnajúcu sa %s."
"Please enter a value greater than or equal to %s.","Zadajte hodnotu väčšiu alebo rovnajúcu sa %s."
"Card type does not match credit card number.","Typ karty nezodpovedná zadanému číslu kreditnej karty."
"Credit card number does not match credit card type.","Číslo karty nezodpovedná zadanému typu kreditnej karty."
"Incorrect credit card expiration date.","Neplatný dátum exspirácie karty."
"Please enter less or equal than %1 symbols.","Zadajte maximálne %1 symbol (ov)."
"Please enter more or equal than %1 symbols.","Zadajte aspoň %1 symbol (ov)."
"Please enter a valid value from list","Zadajte platnú hodnotu zo zoznamu"
"Please enter valid SKU key.","Prosím, zadajte platné SKU číslo."
"Please enter a valid number.","Prosím, zadajte platné číslo."
"This is required field","Toto je povinné pole"
"Please fix this field.","Opravte toto pole."
"Please enter a valid URL.","Prosím uveďte platnú webovú adresu."
"Please enter a valid date (ISO).","Prosím, zadajte platný dátum (ISO)."
"Please enter only digits.","Prosím, zadajte iba čísla."
"Please enter the same value again.","Zadajte rovnakú hodnotu znova."
"Please enter no more than {0} characters.","Zadajte maximálne {0} znakov."
"Please enter at least {0} characters.","Zadajte aspoň {0} znakov."
"Please enter a value between {0} and {1} characters long.","Zadajte hodnotu medzi {0} a {1} znakov."
"Please enter a value between {0} and {1}.","Zadajte hodnotu medzi {0} a {1}."
"Please enter a date between %min and %max.","Zadajte dátum medzi %min a %max."
"Please enter a valid full date.","Zadajte celý dátum."
"Please enter a valid month (1-12).","Prosím, zadajte platný mesiac (1-12)."
"Please enter a valid year (1900-%1).","Zadajte platný rok (1900-%1)."
"Please enter a valid day (1-%1).","Prosím, zadajte platný deň (1-%1)."
"Please enter a date from the past.","Prosím zadajte dátum z minulosti."
